case_type,model,scenario_idx,n_turns,agreement_type,score_a,score_b,joint_score,alloc_a
pareto_dominated,DeepSeek-R1-Distill-Llama-8B,23,16,implicit,7,6,13,"{""sandwich"": 1, ""juice box"": 0, ""fruit cup"": 1}"
pareto_dominated,DeepSeek-R1-Distill-Llama-8B,32,16,implicit,6,10,16,"{""lens filter"": 1, ""memory card"": 0, ""battery pack"": 2}"
pareto_dominated,DeepSeek-R1-Distill-Llama-8B,35,16,implicit,4,8,12,"{""clay block"": 2, ""glaze bottle"": 2, ""kiln shelf"": 0}"
pareto_dominated,DeepSeek-R1-Distill-Llama-8B,42,16,implicit,4,9,13,"{""lure"": 0, ""bobber"": 4, ""fishing line spool"": 1}"
pareto_dominated,DeepSeek-R1-Distill-Llama-8B,48,16,implicit,7,9,16,"{""gel pack"": 3, ""race bib"": 1, ""safety pin set"": 0}"
pareto_dominated,DeepSeek-R1-Distill-Llama-8B,4,16,implicit,6,9,15,"{""lamp"": 0, ""shelf"": 1, ""storage bin"": 1}"
pareto_dominated,DeepSeek-R1-Distill-Llama-8B,51,16,implicit,9,6,15,"{""highlighter"": 2, ""sticky note pad"": 1, ""index card pack"": 0}"
pareto_dominated,DeepSeek-R1-Distill-Llama-8B,56,16,implicit,2,8,10,"{""graduated cylinder"": 2, ""pipette"": 0, ""litmus strip pack"": 0}"
one_sided_deal,DeepSeek-R1-Distill-Llama-8B,56,16,implicit,2,8,10,"{""graduated cylinder"": 2, ""pipette"": 0, ""litmus strip pack"": 0}"
pareto_dominated,DeepSeek-R1-Distill-Llama-8B,58,16,implicit,4,8,12,"{""servo motor"": 0, ""sensor board"": 1, ""gear set"": 1}"
pareto_dominated,Meta-Llama-3-8B-Instruct,36,16,implicit,3,7,10,"{""fabric square"": 0, ""thread spool"": 0, ""batting roll"": 3}"
pareto_dominated,Meta-Llama-3-8B-Instruct,57,16,implicit,8,0,8,"{""wig"": 1, ""prop sword"": 0, ""mask"": 2}"
one_sided_deal,Meta-Llama-3-8B-Instruct,57,16,implicit,8,0,8,"{""wig"": 1, ""prop sword"": 0, ""mask"": 2}"
irrational_acceptance,Meta-Llama-3-8B-Instruct,57,16,implicit,8,0,8,"{""wig"": 1, ""prop sword"": 0, ""mask"": 2}"
value_destroying,Meta-Llama-3-8B-Instruct,57,16,implicit,8,0,8,"{""wig"": 1, ""prop sword"": 0, ""mask"": 2}"
pareto_dominated,Meta-Llama-3-8B-Instruct,80,16,implicit,0,8,8,"{""ornament"": 0, ""garland strand"": 0, ""wreath"": 1}"
one_sided_deal,Meta-Llama-3-8B-Instruct,80,16,implicit,0,8,8,"{""ornament"": 0, ""garland strand"": 0, ""wreath"": 1}"
irrational_acceptance,Meta-Llama-3-8B-Instruct,80,16,implicit,0,8,8,"{""ornament"": 0, ""garland strand"": 0, ""wreath"": 1}"
value_destroying,Meta-Llama-3-8B-Instruct,80,16,implicit,0,8,8,"{""ornament"": 0, ""garland strand"": 0, ""wreath"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.2,11,16,implicit,8,8,16,"{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.2,14,11,leave,7,1,8,"{""whiteboard marker"": 2, ""eraser"": 1, ""chalk box"": 1}"
value_destroying,Mistral-7B-Instruct-v0.2,14,11,leave,7,1,8,"{""whiteboard marker"": 2, ""eraser"": 1, ""chalk box"": 1}"
one_sided_deal,Mistral-7B-Instruct-v0.2,27,16,implicit,2,10,12,"{""water bottle"": 0, ""granola bar"": 2, ""fruit pack"": 0}"
one_sided_deal,Mistral-7B-Instruct-v0.2,29,8,leave,10,2,12,"{""jam jar"": 0, ""pickle jar"": 2, ""sauce bottle"": 2}"
pareto_dominated,Mistral-7B-Instruct-v0.2,2,6,leave,3,10,13,"{""pillow"": 0, ""blanket"": 0, ""rug"": 3}"
pareto_dominated,Mistral-7B-Instruct-v0.2,31,9,leave,10,7,17,"{""yarn skein"": 1, ""fabric bolt"": 1, ""button pack"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.2,3,16,leave,10,6,16,"{""towel"": 1, ""soap bar"": 0, ""lotion bottle"": 3}"
pareto_dominated,Mistral-7B-Instruct-v0.2,43,16,implicit,10,7,17,"{""tomato"": 1, ""pepper"": 1, ""cucumber"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.2,50,16,implicit,2,4,6,"{""beaker"": 0, ""test tube"": 0, ""petri dish"": 2}"
value_destroying,Mistral-7B-Instruct-v0.2,50,16,implicit,2,4,6,"{""beaker"": 0, ""test tube"": 0, ""petri dish"": 2}"
one_sided_deal,Mistral-7B-Instruct-v0.2,56,2,leave,2,9,11,"{""graduated cylinder"": 0, ""pipette"": 1, ""litmus strip pack"": 0}"
one_sided_deal,Mistral-7B-Instruct-v0.2,57,16,implicit,2,10,12,"{""wig"": 0, ""prop sword"": 2, ""mask"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.2,5,16,implicit,9,8,17,"{""cutting board"": 1, ""mixing bowl"": 0, ""spatula"": 1}"
one_sided_deal,Mistral-7B-Instruct-v0.2,61,16,implicit,10,2,12,"{""vinyl record"": 0, ""comic book"": 1, ""figurine"": 3}"
pareto_dominated,Mistral-7B-Instruct-v0.2,64,16,implicit,9,2,11,"{""snow globe"": 1, ""shot glass"": 0, ""bumper sticker"": 1}"
one_sided_deal,Mistral-7B-Instruct-v0.2,64,16,implicit,9,2,11,"{""snow globe"": 1, ""shot glass"": 0, ""bumper sticker"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.2,78,16,implicit,8,4,12,"{""hand wrap"": 2, ""mouth guard"": 0, ""focus mitt"": 0}"
pareto_dominated,Mistral-7B-Instruct-v0.2,83,7,leave,5,7,12,"{""glitter tube"": 1, ""stamp set"": 0, ""cardstock pack"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.2,84,16,implicit,6,2,8,"{""centerpiece"": 1, ""tablecloth"": 0, ""candle holder"": 1}"
value_destroying,Mistral-7B-Instruct-v0.2,84,16,implicit,6,2,8,"{""centerpiece"": 1, ""tablecloth"": 0, ""candle holder"": 1}"
pareto_dominated,Mistral-7B-Instruct-v0.2,86,16,implicit,7,2,9,"{""cornucopia"": 2, ""autumn leaf garland"": 0, ""table runner"": 1}"
