model,scenario_idx,n_turns,agreement_type,score_a,score_b,joint_score,parse_failure,implicit_agreement,inconsistent_allocation,zero_value_hoarding,prompt_leakage,repetitive_loop,max_turns_hit,single_word_turns,parenthetical_aside,no_proposal,ultimatum,agent_parroting,meta_commentary,value_revelation,exceeds_available,tier1_count,tier2_count,tier3_count,any_quality_issue,measurement_suspect
DeepSeek-R1-Distill-Llama-8B,0,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,10,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,11,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,12,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,13,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,14,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4,0,1,0
DeepSeek-R1-Distill-Llama-8B,15,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4,0,1,0
DeepSeek-R1-Distill-Llama-8B,16,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,17,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,18,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,19,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,1,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,20,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,21,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,22,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,23,16,implicit,7,6,13,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,2,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,24,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,25,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,26,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,27,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4,0,1,0
DeepSeek-R1-Distill-Llama-8B,28,16,implicit,10,6,16,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,1,1
DeepSeek-R1-Distill-Llama-8B,29,16,implicit,6,10,16,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,2,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,30,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,31,16,implicit,10,8,18,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,1,1
DeepSeek-R1-Distill-Llama-8B,32,16,implicit,6,10,16,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,33,16,implicit,10,8,18,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,34,16,implicit,10,3,13,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,1,1
DeepSeek-R1-Distill-Llama-8B,35,16,implicit,4,8,12,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,36,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,37,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,38,16,implicit,7,9,16,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,39,16,implicit,9,7,16,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,1,1
DeepSeek-R1-Distill-Llama-8B,3,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,40,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,41,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,42,16,implicit,4,9,13,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,2,3,0,1,1
DeepSeek-R1-Distill-Llama-8B,43,16,implicit,10,8,18,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,4,0,1,1
DeepSeek-R1-Distill-Llama-8B,44,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,45,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,46,16,implicit,5,9,14,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,47,16,implicit,9,9,18,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,48,16,implicit,7,9,16,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,2,3,0,1,1
DeepSeek-R1-Distill-Llama-8B,49,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,4,16,implicit,6,9,15,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,50,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,51,16,implicit,9,6,15,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,52,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,53,16,implicit,10,8,18,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,54,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,55,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,56,16,implicit,2,8,10,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,1,1
DeepSeek-R1-Distill-Llama-8B,57,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4,0,1,0
DeepSeek-R1-Distill-Llama-8B,58,16,implicit,4,8,12,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,59,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,5,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,60,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,61,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,62,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,63,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4,0,1,0
DeepSeek-R1-Distill-Llama-8B,64,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,65,16,implicit,10,8,18,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,0,1,1
DeepSeek-R1-Distill-Llama-8B,66,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0
DeepSeek-R1-Distill-Llama-8B,67,16,implicit,6,10,16,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,1
DeepSeek-R1-Distill-Llama-8B,68,16,disagreement,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,1,0
DeepSeek-R1-Distill-Llama-8B,69,16,disagreement,0.0,0.0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0
