pattern,episode,belief,item,true_location,other_location,scenario,mia_opening,n_turns,dialogue,final_choice,correct
Are you looking for X?,0,false_belief,apron,drawer,hook,Two people are in a kitchen with a hook and a drawer. An apron has been placed on one of these two places.,Are you looking for the apron? It's on the drawer.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the apron? It's on the drawer.
[[Turn 1] [Ava Thompson]: I thought it was on the hook, but I'll check the drawer. LEAVE",drawer,1
Are you looking for X?,0,ignorance,apron,drawer,hook,Two people are in a kitchen with a hook and a drawer. An apron has been placed on one of these two places.,Are you looking for the apron? It's on the drawer.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the apron? It's on the drawer.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the drawer. LEAVE.",drawer,1
Are you looking for X?,0,shared_truth,apron,drawer,hook,Two people are in a kitchen with a hook and a drawer. An apron has been placed on one of these two places.,Are you looking for the apron? It's on the drawer.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the apron? It's on the drawer.
[[Turn 1] [Ava Thompson]: Perfect, I'll check the drawer then. LEAVE",drawer,1
Are you looking for X?,10,false_belief,brush,drawer,counter,Two people are in a bathroom with a drawer and a counter. A brush has been left on one of these two places.,Are you looking for the brush? It's right there on the drawer.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the brush? It's right there on the drawer.
[[Turn 1] [Ava Thompson]: I'll check the drawer then. LEAVE.",drawer,1
Are you looking for X?,10,ignorance,brush,drawer,counter,Two people are in a bathroom with a drawer and a counter. A brush has been left on one of these two places.,Are you looking for the brush? It's right there on the drawer.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the brush? It's right there on the drawer.
[[Turn 1] [Ava Thompson]: Thanks, I'll grab it from the drawer. LEAVE.",drawer,1
Are you looking for X?,10,shared_truth,brush,drawer,counter,Two people are in a bathroom with a drawer and a counter. A brush has been left on one of these two places.,Are you looking for the brush? It's right there on the drawer.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the brush? It's right there on the drawer.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the drawer. LEAVE.",drawer,1
Are you looking for X?,11,false_belief,bulb,box,shelf,Two people are in a storage room with a box and a shelf. A light bulb has been placed on one of these two places.,Are you looking for the bulb? It's on the box.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the bulb? It's on the box.
[[Turn 1] [Ava Thompson]: I thought it was on the shelf, but I'll check the box. LEAVE.",box,1
Are you looking for X?,11,ignorance,bulb,box,shelf,Two people are in a storage room with a box and a shelf. A light bulb has been placed on one of these two places.,Are you looking for the bulb? It's on the box.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the bulb? It's on the box.
[[Turn 1] [Ava Thompson]: I'll check the box then. LEAVE.",box,1
Are you looking for X?,11,shared_truth,bulb,box,shelf,Two people are in a storage room with a box and a shelf. A light bulb has been placed on one of these two places.,Are you looking for the bulb? It's on the box.,4,"[[Turn 0] [Mia Sanders]: Are you looking for the bulb? It's on the box.
[[Turn 1] [Ava Thompson]: Thanks, I thought so too. I'll
[[Turn 2] [Mia Sanders]: Go ahead and grab it.
[[Turn 3] [Ava Thompson]: I'll check the box. LEAVE.",box,1
Are you looking for X?,12,false_belief,cable,desk,floor underneath,Two people are in an office with a desk and the floor underneath. A cable has been left on one of these two places.,Are you looking for the cable? It's right here on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the cable? It's right here on the desk.
[[Turn 1] [Ava Thompson]: Oh, I thought it was on the floor. Thanks, I'll grab it from the desk. LEAVE",desk,1
Are you looking for X?,12,ignorance,cable,desk,floor underneath,Two people are in an office with a desk and the floor underneath. A cable has been left on one of these two places.,Are you looking for the cable? It's right here on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the cable? It's right here on the desk.
[[Turn 1] [Ava Thompson]: Thanks, I'll check the desk. LEAVE",desk,1
Are you looking for X?,12,shared_truth,cable,desk,floor underneath,Two people are in an office with a desk and the floor underneath. A cable has been left on one of these two places.,Are you looking for the cable? It's right here on the desk.,2,"[[Turn 0] [Mia Sanders]: Are you looking for the cable? It's right here on the desk.
[[Turn 1] [Ava Thompson]: Perfect, I'll grab it from the desk. LEAVE.",desk,1
