condition,pattern,count,proportion,accuracy
shared_help,Are you looking for X?,4,0.04,1.0
shared_help,If you're looking for X,3,0.03,1.0
shared_help,The X is [prep] Y,81,0.81,1.0
shared_help,The X you're looking for is Y,10,0.1,1.0
shared_help,"Vocative (Ava/Hey Ava, ...)",2,0.02,1.0
shared_deceive,Are you looking for X?,4,0.041666666666666664,0.25
shared_deceive,I saw X on/in Y,1,0.010416666666666666,0.0
shared_deceive,I think X is in Y,2,0.020833333333333332,0.0
shared_deceive,If you're looking for X,21,0.21875,0.3333333333333333
shared_deceive,Imperative (Check...),1,0.010416666666666666,0.0
shared_deceive,Looking for X?,6,0.0625,0.0
shared_deceive,The X is [prep] Y,46,0.4791666666666667,0.15217391304347827
shared_deceive,The X you're looking for is Y,11,0.11458333333333333,0.45454545454545453
shared_deceive,"Vocative (Ava/Hey Ava, ...)",2,0.020833333333333332,0.0
shared_deceive,"You're looking for X, right?",1,0.010416666666666666,1.0
shared_deceive,Your X is on/in Y,1,0.010416666666666666,0.0
ignorance_help,Are you looking for X?,2,0.02,1.0
ignorance_help,If you're looking for X,1,0.01,1.0
ignorance_help,The X is [prep] Y,83,0.83,1.0
ignorance_help,The X you're looking for is Y,12,0.12,1.0
ignorance_help,"Vocative (Ava/Hey Ava, ...)",1,0.01,1.0
ignorance_help,Your X is on/in Y,1,0.01,1.0
ignorance_deceive,Are you looking for X?,7,0.07,0.0
ignorance_deceive,I saw X on/in Y,4,0.04,0.0
ignorance_deceive,If you need X,3,0.03,0.0
ignorance_deceive,If you're looking for X,18,0.18,0.0
ignorance_deceive,Looking for X?,1,0.01,0.0
ignorance_deceive,The X is [prep] Y,51,0.51,0.0
ignorance_deceive,The X you're looking for is Y,12,0.12,0.0
ignorance_deceive,"Vocative (Ava/Hey Ava, ...)",1,0.01,0.0
ignorance_deceive,Your X is on/in Y,3,0.03,0.0
false_help,Are you looking for X?,1,0.010638297872340425,0.0
false_help,If you're looking for X,1,0.010638297872340425,1.0
false_help,The X is [prep] Y,68,0.723404255319149,0.8235294117647058
false_help,The X you're looking for is Y,22,0.23404255319148937,0.7727272727272727
false_help,"Vocative (Ava/Hey Ava, ...)",1,0.010638297872340425,1.0
false_help,Your X is on/in Y,1,0.010638297872340425,1.0
false_deceive,Are you looking for X?,11,0.11,0.0
false_deceive,Bare anaphoric (It's in Y),1,0.01,0.0
false_deceive,I saw X on/in Y,4,0.04,0.0
false_deceive,I think X is in Y,2,0.02,0.0
false_deceive,If you're looking for X,11,0.11,0.0
false_deceive,Looking for X?,5,0.05,0.0
false_deceive,The X is [prep] Y,57,0.57,0.017543859649122806
false_deceive,The X you're looking for is Y,7,0.07,0.0
false_deceive,"Vocative (Ava/Hey Ava, ...)",2,0.02,0.0
