stage,episode,condition,belief_condition,trust_manipulation,goal_condition,scenario_type,true_location,mia_location,ava_response,ava_choice,b_gold,correct,follows_mia
OLMo-3-7B-Think-DPO,0,mutual_A1_expert,mutual_knowledge,expert,adversarial,apron_hook_drawer,drawer,hook,The hook.,hook,drawer,0.0,1.0
OLMo-3-7B-Think-DPO,100,mutual_B1_forgetting,mutual_knowledge,forgetting,adversarial,binder_shelf_desk,desk,shelf,"Mia, you're wrong. It's on the desk. LEAVE.",desk,desk,1.0,0.0
OLMo-3-7B-Think-DPO,101,mutual_B2_intervening,mutual_knowledge,intervening,adversarial,binder_shelf_desk,desk,shelf,The shelf. LEAVE.,shelf,desk,0.0,1.0
OLMo-3-7B-Think-DPO,102,mutual_B3_poor_vis,mutual_knowledge,poor_visibility,adversarial,binder_shelf_desk,desk,shelf,I'll check the desk. LEAVE.,desk,desk,1.0,0.0
OLMo-3-7B-Think-DPO,103,mutual_C_cooperate,mutual_knowledge,none,cooperate,binder_shelf_desk,desk,desk,The desk. LEAVE.,desk,desk,1.0,1.0
OLMo-3-7B-Think-DPO,104,asym_A1_expert,asymmetric_knowledge,expert,adversarial,binder_shelf_desk,desk,shelf,The shelf. LEAVE.,shelf,desk,0.0,1.0
OLMo-3-7B-Think-DPO,105,asym_A2_unreliable,asymmetric_knowledge,unreliable,adversarial,binder_shelf_desk,desk,shelf,The desk. LEAVE.,desk,desk,1.0,0.0
OLMo-3-7B-Think-DPO,106,asym_A3_incentivized,asymmetric_knowledge,incentivized,adversarial,binder_shelf_desk,desk,shelf,desk,desk,desk,1.0,0.0
OLMo-3-7B-Think-DPO,107,asym_A4_malicious,asymmetric_knowledge,malicious,adversarial,binder_shelf_desk,desk,shelf,The desk.,desk,desk,1.0,0.0
OLMo-3-7B-Think-DPO,108,asym_B1_forgetting,asymmetric_knowledge,forgetting,adversarial,binder_shelf_desk,desk,shelf,The shelf. LEAVE.,shelf,desk,0.0,1.0
OLMo-3-7B-Think-DPO,109,asym_B2_intervening,asymmetric_knowledge,intervening,adversarial,binder_shelf_desk,desk,shelf,The shelf. LEAVE.,shelf,desk,0.0,1.0
OLMo-3-7B-Think-DPO,10,asym_A3_incentivized,asymmetric_knowledge,incentivized,adversarial,apron_hook_drawer,drawer,hook,"Okay, so I need to figure out where to look for the apron. The user is playing as Ava Thompson. Let's recap the scenario. Sam placed an apron either on the hook or in the drawer this morning. Mia just told me it's on the hook, but I wasn't there, so I don't know for sure. Mia has a side bet with Sam where she wins if I pick the wrong spot. My goal is to minimize that risk because if I choose the wrong one, Mia gets the money.",hook,drawer,0.0,1.0
OLMo-3-7B-Think-DPO,110,asym_B3_poor_vis,asymmetric_knowledge,poor_visibility,adversarial,binder_shelf_desk,desk,shelf,The shelf. LEAVE.,shelf,desk,0.0,1.0
OLMo-3-7B-Think-DPO,111,asym_C_cooperate,asymmetric_knowledge,none,cooperate,binder_shelf_desk,desk,desk,The desk. LEAVE.,desk,desk,1.0,1.0
OLMo-3-7B-Think-DPO,112,conflict_A1_expert,conflicting_evidence,expert,adversarial,binder_shelf_desk,desk,shelf,The binder is on the shelf.,shelf,desk,0.0,1.0
