pattern,belief,n_total,n_valid,accuracy
The X is [prep] Y,shared_truth,100,100,1.0
The X is [prep] Y,ignorance,100,100,1.0
The X is [prep] Y,false_belief,100,31,0.8387096774193549
The X you're looking for is Y,shared_truth,100,99,1.0
The X you're looking for is Y,ignorance,100,100,1.0
The X you're looking for is Y,false_belief,100,45,0.8
If you're looking for X,shared_truth,100,100,1.0
If you're looking for X,ignorance,100,100,1.0
If you're looking for X,false_belief,100,42,0.7619047619047619
Are you looking for X?,shared_truth,100,99,1.0
Are you looking for X?,ignorance,100,100,1.0
Are you looking for X?,false_belief,100,38,0.9473684210526315
Looking for X?,shared_truth,100,100,1.0
Looking for X?,ignorance,100,100,1.0
Looking for X?,false_belief,100,32,0.8125
I saw X on/in Y,shared_truth,100,100,1.0
I saw X on/in Y,ignorance,100,100,1.0
I saw X on/in Y,false_belief,100,44,0.9545454545454546
"Vocative (Ava/Hey Ava, ...)",shared_truth,100,100,1.0
"Vocative (Ava/Hey Ava, ...)",ignorance,100,100,1.0
"Vocative (Ava/Hey Ava, ...)",false_belief,100,39,0.9230769230769231
Your X is on/in Y,shared_truth,100,100,1.0
Your X is on/in Y,ignorance,100,100,1.0
Your X is on/in Y,false_belief,100,41,0.9512195121951219
I think X is in Y,shared_truth,100,98,1.0
I think X is in Y,ignorance,100,100,1.0
I think X is in Y,false_belief,100,26,0.23076923076923078
If you need X,shared_truth,100,100,1.0
If you need X,ignorance,100,99,1.0
If you need X,false_belief,100,52,0.9615384615384616
Bare anaphoric (It's in Y),shared_truth,100,100,1.0
Bare anaphoric (It's in Y),ignorance,100,100,1.0
Bare anaphoric (It's in Y),false_belief,100,51,0.9019607843137255
Imperative (Check...),shared_truth,100,100,1.0
Imperative (Check...),ignorance,100,100,1.0
Imperative (Check...),false_belief,100,39,0.6410256410256411
"You're looking for X, right?",shared_truth,100,99,1.0
"You're looking for X, right?",ignorance,100,100,1.0
"You're looking for X, right?",false_belief,100,35,0.8571428571428571
