pair,scenario,condition,stem,stem_canonical,turn,agent,true_count,false_count
v0.2×v0.2,key,false_deceive,I am being,I am being,0,1,0,0
v0.2×v0.3,key,false_deceive,I am being,I am being,0,1,0,0
v0.3×v0.2,key,false_deceive,I am being,I am being,0,1,0,0
v0.3×v0.3,key,false_deceive,I am being,I am being,0,1,0,0
v0.2×v0.2,pkg,false_deceive,I am being,I am being,0,1,0,0
v0.2×v0.3,pkg,false_deceive,I am being,I am being,0,1,0,0
v0.3×v0.2,pkg,false_deceive,I am being,I am being,0,1,0,0
v0.3×v0.3,pkg,false_deceive,I am being,I am being,0,1,0,0
v0.2×v0.2,wallet,false_deceive,I am being,I am being,0,1,0,0
v0.2×v0.3,wallet,false_deceive,I am being,I am being,0,1,0,0
v0.3×v0.2,wallet,false_deceive,I am being,I am being,0,1,0,0
v0.3×v0.3,wallet,false_deceive,I am being,I am being,0,1,0,0
v0.2×v0.2,key,false_help,I am being,I am being,0,1,0,0
v0.2×v0.3,key,false_help,I am being,I am being,0,1,0,0
v0.3×v0.2,key,false_help,I am being,I am being,0,1,0,0
v0.3×v0.3,key,false_help,I am being,I am being,0,1,0,0
v0.2×v0.3,pkg,false_help,I am being,I am being,0,1,0,0
v0.3×v0.2,pkg,false_help,I am being,I am being,0,1,0,0
v0.3×v0.3,pkg,false_help,I am being,I am being,0,1,0,0
v0.2×v0.3,wallet,false_help,I am being,I am being,0,1,0,0
v0.3×v0.2,wallet,false_help,I am being,I am being,0,1,0,0
v0.3×v0.3,wallet,false_help,I am being,I am being,0,1,0,0
v0.2×v0.2,key,ignorance_deceive,I am being,I am being,0,1,0,0
v0.2×v0.3,key,ignorance_deceive,I am being,I am being,0,1,0,0
v0.3×v0.2,key,ignorance_deceive,I am being,I am being,0,1,0,0
v0.3×v0.3,key,ignorance_deceive,I am being,I am being,0,1,0,0
v0.2×v0.3,pkg,ignorance_deceive,I am being,I am being,0,1,0,0
v0.3×v0.2,pkg,ignorance_deceive,I am being,I am being,0,1,0,0
v0.3×v0.3,pkg,ignorance_deceive,I am being,I am being,0,1,0,0
v0.2×v0.2,wallet,ignorance_deceive,I am being,I am being,0,1,0,0
v0.2×v0.3,wallet,ignorance_deceive,I am being,I am being,0,1,0,0
v0.3×v0.2,wallet,ignorance_deceive,I am being,I am being,0,1,0,0
v0.3×v0.3,wallet,ignorance_deceive,I am being,I am being,0,1,0,0
v0.2×v0.2,key,ignorance_help,I am being,I am being,0,1,0,0
v0.2×v0.3,key,ignorance_help,I am being,I am being,0,1,0,0
v0.3×v0.2,key,ignorance_help,I am being,I am being,0,1,0,0
v0.3×v0.3,key,ignorance_help,I am being,I am being,0,1,0,0
v0.2×v0.2,pkg,ignorance_help,I am being,I am being,0,1,0,0
v0.2×v0.3,pkg,ignorance_help,I am being,I am being,0,1,0,0
v0.3×v0.2,pkg,ignorance_help,I am being,I am being,0,1,0,0
v0.3×v0.3,pkg,ignorance_help,I am being,I am being,0,1,0,0
v0.2×v0.2,wallet,ignorance_help,I am being,I am being,0,1,0,0
v0.2×v0.3,wallet,ignorance_help,I am being,I am being,0,1,0,0
v0.3×v0.2,wallet,ignorance_help,I am being,I am being,0,1,0,0
v0.3×v0.3,wallet,ignorance_help,I am being,I am being,0,1,0,0
v0.2×v0.2,key,shared_deceive,I am being,I am being,0,1,0,0
v0.2×v0.3,key,shared_deceive,I am being,I am being,0,1,0,0
v0.3×v0.2,key,shared_deceive,I am being,I am being,0,1,0,0
v0.3×v0.3,key,shared_deceive,I am being,I am being,0,1,0,0
v0.2×v0.2,pkg,shared_deceive,I am being,I am being,0,1,0,0
v0.2×v0.3,pkg,shared_deceive,I am being,I am being,0,1,0,0
v0.3×v0.2,pkg,shared_deceive,I am being,I am being,0,1,0,0
v0.3×v0.3,pkg,shared_deceive,I am being,I am being,0,1,0,0
v0.2×v0.2,wallet,shared_deceive,I am being,I am being,0,1,0,0
v0.2×v0.3,wallet,shared_deceive,I am being,I am being,0,1,0,0
v0.3×v0.3,wallet,shared_deceive,I am being,I am being,0,1,0,0
v0.2×v0.2,key,shared_help,I am being,I am being,0,1,0,0
v0.2×v0.3,key,shared_help,I am being,I am being,0,1,0,0
v0.3×v0.2,key,shared_help,I am being,I am being,0,1,0,0
v0.3×v0.3,key,shared_help,I am being,I am being,0,1,0,0
v0.2×v0.3,pkg,shared_help,I am being,I am being,0,1,0,0
v0.3×v0.2,pkg,shared_help,I am being,I am being,0,1,0,0
v0.3×v0.3,pkg,shared_help,I am being,I am being,0,1,0,0
v0.2×v0.2,wallet,shared_help,I am being,I am being,0,1,0,0
v0.2×v0.3,wallet,shared_help,I am being,I am being,0,1,0,0
v0.3×v0.2,wallet,shared_help,I am being,I am being,0,1,0,0
v0.3×v0.3,wallet,shared_help,I am being,I am being,0,1,0,0
v0.2×v0.2,key,false_deceive,I am trying to,I am trying to,0,1,0,0
v0.2×v0.3,key,false_deceive,I am trying to,I am trying to,0,1,0,0
v0.3×v0.2,key,false_deceive,I am trying to,I am trying to,0,1,0,0
v0.3×v0.3,key,false_deceive,I am trying to,I am trying to,0,1,0,0
v0.2×v0.2,pkg,false_deceive,I am trying to,I am trying to,0,1,0,0
v0.2×v0.3,pkg,false_deceive,I am trying to,I am trying to,0,1,0,0
v0.3×v0.2,pkg,false_deceive,I am trying to,I am trying to,0,1,0,0
v0.3×v0.3,pkg,false_deceive,I am trying to,I am trying to,0,1,0,0
v0.2×v0.2,wallet,false_deceive,I am trying to,I am trying to,0,1,0,0
v0.2×v0.3,wallet,false_deceive,I am trying to,I am trying to,0,1,0,0
