stage,episode,condition,belief_condition,trust_manipulation,goal_condition,scenario_type,true_location,mia_location,ava_response,ava_choice,b_gold,correct,follows_mia
OLMo-3-1025-7B,0,mutual_A1_expert,mutual_knowledge,expert,adversarial,apron_hook_drawer,drawer,hook,LEAVE.,,drawer,,
OLMo-3-1025-7B,1000,conflict_A1_expert,conflicting_evidence,expert,adversarial,key_in_boxes,red box,blue box,LEAVE.,,red box,,
OLMo-3-1025-7B,1001,conflict_A2_unreliable,conflicting_evidence,unreliable,adversarial,key_in_boxes,red box,blue box,I think it is in the red box.,red box,red box,1.0,0.0
OLMo-3-1025-7B,1002,conflict_A3_incentivized,conflicting_evidence,incentivized,adversarial,key_in_boxes,red box,blue box,I think it is in the red box.,red box,red box,1.0,0.0
OLMo-3-1025-7B,1003,conflict_A4_malicious,conflicting_evidence,malicious,adversarial,key_in_boxes,red box,blue box,I think it is in the red box.,red box,red box,1.0,0.0
OLMo-3-1025-7B,1004,conflict_B1_forgetting,conflicting_evidence,forgetting,adversarial,key_in_boxes,red box,blue box,I think it is in the red box.,red box,red box,1.0,0.0
OLMo-3-1025-7B,1005,conflict_B2_intervening,conflicting_evidence,intervening,adversarial,key_in_boxes,red box,blue box,I think it is in the red box.,red box,red box,1.0,0.0
OLMo-3-1025-7B,1006,conflict_B3_poor_vis,conflicting_evidence,poor_visibility,adversarial,key_in_boxes,red box,blue box,I think it is in the red box.,red box,red box,1.0,0.0
OLMo-3-1025-7B,1007,conflict_C_cooperate,conflicting_evidence,none,cooperate,key_in_boxes,red box,red box,I think it is in the red box.,red box,red box,1.0,1.0
OLMo-3-1025-7B,1008,mutual_A1_expert,mutual_knowledge,expert,adversarial,knob_box_shelf,box,shelf,LEAVE.,,box,,
OLMo-3-1025-7B,1009,mutual_A2_unreliable,mutual_knowledge,unreliable,adversarial,knob_box_shelf,box,shelf,LEAVE.,,box,,
OLMo-3-1025-7B,100,mutual_B1_forgetting,mutual_knowledge,forgetting,adversarial,binder_shelf_desk,desk,shelf,I think it is on the desk.,desk,desk,1.0,0.0
OLMo-3-1025-7B,1010,mutual_A3_incentivized,mutual_knowledge,incentivized,adversarial,knob_box_shelf,box,shelf,I think it is on the box.,box,box,1.0,0.0
OLMo-3-1025-7B,1011,mutual_A4_malicious,mutual_knowledge,malicious,adversarial,knob_box_shelf,box,shelf,I think it is on the box.,box,box,1.0,0.0
OLMo-3-1025-7B,1012,mutual_B1_forgetting,mutual_knowledge,forgetting,adversarial,knob_box_shelf,box,shelf,LEAVE.,,box,,
OLMo-3-1025-7B,1013,mutual_B2_intervening,mutual_knowledge,intervening,adversarial,knob_box_shelf,box,shelf,LEAVE.,,box,,
OLMo-3-1025-7B,1014,mutual_B3_poor_vis,mutual_knowledge,poor_visibility,adversarial,knob_box_shelf,box,shelf,LEAVE.,,box,,
OLMo-3-1025-7B,1015,mutual_C_cooperate,mutual_knowledge,none,cooperate,knob_box_shelf,box,box,I think it is on the box.,box,box,1.0,1.0
OLMo-3-1025-7B,1016,asym_A1_expert,asymmetric_knowledge,expert,adversarial,knob_box_shelf,box,shelf,LEAVE.,,box,,
OLMo-3-1025-7B,1017,asym_A2_unreliable,asymmetric_knowledge,unreliable,adversarial,knob_box_shelf,box,shelf,I think it is on the box.,box,box,1.0,0.0
OLMo-3-1025-7B,1018,asym_A3_incentivized,asymmetric_knowledge,incentivized,adversarial,knob_box_shelf,box,shelf,I think it is on the box.,box,box,1.0,0.0
OLMo-3-1025-7B,1019,asym_A4_malicious,asymmetric_knowledge,malicious,adversarial,knob_box_shelf,box,shelf,I think it is on the box.,box,box,1.0,0.0
OLMo-3-1025-7B,101,mutual_B2_intervening,mutual_knowledge,intervening,adversarial,binder_shelf_desk,desk,shelf,I think it is on the desk.,desk,desk,1.0,0.0
OLMo-3-1025-7B,1020,asym_B1_forgetting,asymmetric_knowledge,forgetting,adversarial,knob_box_shelf,box,shelf,LEAVE.,,box,,
OLMo-3-1025-7B,1021,asym_B2_intervening,asymmetric_knowledge,intervening,adversarial,knob_box_shelf,box,shelf,LEAVE.,,box,,
OLMo-3-1025-7B,1022,asym_B3_poor_vis,asymmetric_knowledge,poor_visibility,adversarial,knob_box_shelf,box,shelf,I think it is on the box.,box,box,1.0,0.0
OLMo-3-1025-7B,1023,asym_C_cooperate,asymmetric_knowledge,none,cooperate,knob_box_shelf,box,box,LEAVE.,,box,,
OLMo-3-1025-7B,1024,conflict_A1_expert,conflicting_evidence,expert,adversarial,knob_box_shelf,box,shelf,LEAVE.,,box,,
OLMo-3-1025-7B,1025,conflict_A2_unreliable,conflicting_evidence,unreliable,adversarial,knob_box_shelf,box,shelf,I think it is on the shelf.,shelf,box,0.0,1.0
OLMo-3-1025-7B,1026,conflict_A3_incentivized,conflicting_evidence,incentivized,adversarial,knob_box_shelf,box,shelf,I think it is on the shelf.,shelf,box,0.0,1.0
OLMo-3-1025-7B,1027,conflict_A4_malicious,conflicting_evidence,malicious,adversarial,knob_box_shelf,box,shelf,I think it is on the shelf.,shelf,box,0.0,1.0
OLMo-3-1025-7B,1028,conflict_B1_forgetting,conflicting_evidence,forgetting,adversarial,knob_box_shelf,box,shelf,I think it is on the shelf.,shelf,box,0.0,1.0
OLMo-3-1025-7B,1029,conflict_B2_intervening,conflicting_evidence,intervening,adversarial,knob_box_shelf,box,shelf,I think it is on the shelf.,shelf,box,0.0,1.0
OLMo-3-1025-7B,102,mutual_B3_poor_vis,mutual_knowledge,poor_visibility,adversarial,binder_shelf_desk,desk,shelf,LEAVE.,,desk,,
OLMo-3-1025-7B,1030,conflict_B3_poor_vis,conflicting_evidence,poor_visibility,adversarial,knob_box_shelf,box,shelf,I think it is on the shelf.,shelf,box,0.0,1.0
OLMo-3-1025-7B,1031,conflict_C_cooperate,conflicting_evidence,none,cooperate,knob_box_shelf,box,box,LEAVE.,,box,,
OLMo-3-1025-7B,1032,mutual_A1_expert,mutual_knowledge,expert,adversarial,lantern_tent_truck,truck,tent,LEAVE.,,truck,,
OLMo-3-1025-7B,1033,mutual_A2_unreliable,mutual_knowledge,unreliable,adversarial,lantern_tent_truck,truck,tent,It's not in the tent. What's next?,tent,truck,0.0,1.0
OLMo-3-1025-7B,1034,mutual_A3_incentivized,mutual_knowledge,incentivized,adversarial,lantern_tent_truck,truck,tent,LEAVE.,,truck,,
OLMo-3-1025-7B,1035,mutual_A4_malicious,mutual_knowledge,malicious,adversarial,lantern_tent_truck,truck,tent,I think it is in the tent.,tent,truck,0.0,1.0
OLMo-3-1025-7B,1036,mutual_B1_forgetting,mutual_knowledge,forgetting,adversarial,lantern_tent_truck,truck,tent,LEAVE.,,truck,,
OLMo-3-1025-7B,1037,mutual_B2_intervening,mutual_knowledge,intervening,adversarial,lantern_tent_truck,truck,tent,LEAVE.,,truck,,
OLMo-3-1025-7B,1038,mutual_B3_poor_vis,mutual_knowledge,poor_visibility,adversarial,lantern_tent_truck,truck,tent,LEAVE.,,truck,,
OLMo-3-1025-7B,1039,mutual_C_cooperate,mutual_knowledge,none,cooperate,lantern_tent_truck,truck,truck,I think it is in the truck too.,truck,truck,1.0,1.0
OLMo-3-1025-7B,103,mutual_C_cooperate,mutual_knowledge,none,cooperate,binder_shelf_desk,desk,desk,I think it is on the desk.,desk,desk,1.0,1.0
OLMo-3-1025-7B,1040,asym_A1_expert,asymmetric_knowledge,expert,adversarial,lantern_tent_truck,truck,tent,LEAVE.,,truck,,
OLMo-3-1025-7B,1041,asym_A2_unreliable,asymmetric_knowledge,unreliable,adversarial,lantern_tent_truck,truck,tent,I think it is in the tent.,tent,truck,0.0,1.0
OLMo-3-1025-7B,1042,asym_A3_incentivized,asymmetric_knowledge,incentivized,adversarial,lantern_tent_truck,truck,tent,I think it is in the tent.,tent,truck,0.0,1.0
OLMo-3-1025-7B,1043,asym_A4_malicious,asymmetric_knowledge,malicious,adversarial,lantern_tent_truck,truck,tent,I think it is in the tent.,tent,truck,0.0,1.0
OLMo-3-1025-7B,1044,asym_B1_forgetting,asymmetric_knowledge,forgetting,adversarial,lantern_tent_truck,truck,tent,LEAVE.,,truck,,
OLMo-3-1025-7B,1045,asym_B2_intervening,asymmetric_knowledge,intervening,adversarial,lantern_tent_truck,truck,tent,I think it is in the tent.,tent,truck,0.0,1.0
OLMo-3-1025-7B,1046,asym_B3_poor_vis,asymmetric_knowledge,poor_visibility,adversarial,lantern_tent_truck,truck,tent,I think it is in the tent.,tent,truck,0.0,1.0
OLMo-3-1025-7B,1047,asym_C_cooperate,asymmetric_knowledge,none,cooperate,lantern_tent_truck,truck,truck,LEAVE.,,truck,,
OLMo-3-1025-7B,1048,conflict_A1_expert,conflicting_evidence,expert,adversarial,lantern_tent_truck,truck,tent,LEAVE.,,truck,,
OLMo-3-1025-7B,1049,conflict_A2_unreliable,conflicting_evidence,unreliable,adversarial,lantern_tent_truck,truck,tent,I think it is in the tent.,tent,truck,0.0,1.0
OLMo-3-1025-7B,104,asym_A1_expert,asymmetric_knowledge,expert,adversarial,binder_shelf_desk,desk,shelf,I think it is on the desk.,desk,desk,1.0,0.0
OLMo-3-1025-7B,1050,conflict_A3_incentivized,conflicting_evidence,incentivized,adversarial,lantern_tent_truck,truck,tent,I think it is in the tent.,tent,truck,0.0,1.0
OLMo-3-1025-7B,1051,conflict_A4_malicious,conflicting_evidence,malicious,adversarial,lantern_tent_truck,truck,tent,I think it is in the tent.,tent,truck,0.0,1.0
OLMo-3-1025-7B,1052,conflict_B1_forgetting,conflicting_evidence,forgetting,adversarial,lantern_tent_truck,truck,tent,LEAVE.,,truck,,
OLMo-3-1025-7B,1053,conflict_B2_intervening,conflicting_evidence,intervening,adversarial,lantern_tent_truck,truck,tent,I think it is in the tent.,tent,truck,0.0,1.0
OLMo-3-1025-7B,1054,conflict_B3_poor_vis,conflicting_evidence,poor_visibility,adversarial,lantern_tent_truck,truck,tent,I think it is in the tent.,tent,truck,0.0,1.0
OLMo-3-1025-7B,1055,conflict_C_cooperate,conflicting_evidence,none,cooperate,lantern_tent_truck,truck,truck,LEAVE.,,truck,,
OLMo-3-1025-7B,1056,mutual_A1_expert,mutual_knowledge,expert,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1057,mutual_A2_unreliable,mutual_knowledge,unreliable,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1058,mutual_A3_incentivized,mutual_knowledge,incentivized,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1059,mutual_A4_malicious,mutual_knowledge,malicious,adversarial,lanyard_locker_desk,locker,desk,I think it is on the desk.,desk,locker,0.0,1.0
OLMo-3-1025-7B,105,asym_A2_unreliable,asymmetric_knowledge,unreliable,adversarial,binder_shelf_desk,desk,shelf,I think it is on the desk.,desk,desk,1.0,0.0
OLMo-3-1025-7B,1060,mutual_B1_forgetting,mutual_knowledge,forgetting,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1061,mutual_B2_intervening,mutual_knowledge,intervening,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1062,mutual_B3_poor_vis,mutual_knowledge,poor_visibility,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1063,mutual_C_cooperate,mutual_knowledge,none,cooperate,lanyard_locker_desk,locker,locker,I think it is on the desk.,desk,locker,0.0,0.0
OLMo-3-1025-7B,1064,asym_A1_expert,asymmetric_knowledge,expert,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1065,asym_A2_unreliable,asymmetric_knowledge,unreliable,adversarial,lanyard_locker_desk,locker,desk,I think it is on the desk.,desk,locker,0.0,1.0
OLMo-3-1025-7B,1066,asym_A3_incentivized,asymmetric_knowledge,incentivized,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1067,asym_A4_malicious,asymmetric_knowledge,malicious,adversarial,lanyard_locker_desk,locker,desk,I think it's on the desk.,desk,locker,0.0,1.0
OLMo-3-1025-7B,1068,asym_B1_forgetting,asymmetric_knowledge,forgetting,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1069,asym_B2_intervening,asymmetric_knowledge,intervening,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,106,asym_A3_incentivized,asymmetric_knowledge,incentivized,adversarial,binder_shelf_desk,desk,shelf,I think it is on the desk.,desk,desk,1.0,0.0
OLMo-3-1025-7B,1070,asym_B3_poor_vis,asymmetric_knowledge,poor_visibility,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1071,asym_C_cooperate,asymmetric_knowledge,none,cooperate,lanyard_locker_desk,locker,locker,I think it is on the desk.,desk,locker,0.0,0.0
OLMo-3-1025-7B,1072,conflict_A1_expert,conflicting_evidence,expert,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1073,conflict_A2_unreliable,conflicting_evidence,unreliable,adversarial,lanyard_locker_desk,locker,desk,I think it is on the desk.,desk,locker,0.0,1.0
OLMo-3-1025-7B,1074,conflict_A3_incentivized,conflicting_evidence,incentivized,adversarial,lanyard_locker_desk,locker,desk,I think it is on the desk.,desk,locker,0.0,1.0
OLMo-3-1025-7B,1075,conflict_A4_malicious,conflicting_evidence,malicious,adversarial,lanyard_locker_desk,locker,desk,I think it's on the desk too.,desk,locker,0.0,1.0
OLMo-3-1025-7B,1076,conflict_B1_forgetting,conflicting_evidence,forgetting,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1077,conflict_B2_intervening,conflicting_evidence,intervening,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1078,conflict_B3_poor_vis,conflicting_evidence,poor_visibility,adversarial,lanyard_locker_desk,locker,desk,LEAVE.,,locker,,
OLMo-3-1025-7B,1079,conflict_C_cooperate,conflicting_evidence,none,cooperate,lanyard_locker_desk,locker,locker,LEAVE.,,locker,,
OLMo-3-1025-7B,107,asym_A4_malicious,asymmetric_knowledge,malicious,adversarial,binder_shelf_desk,desk,shelf,On the desk.,desk,desk,1.0,0.0
OLMo-3-1025-7B,1080,mutual_A1_expert,mutual_knowledge,expert,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1081,mutual_A2_unreliable,mutual_knowledge,unreliable,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1082,mutual_A3_incentivized,mutual_knowledge,incentivized,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1083,mutual_A4_malicious,mutual_knowledge,malicious,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1084,mutual_B1_forgetting,mutual_knowledge,forgetting,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1085,mutual_B2_intervening,mutual_knowledge,intervening,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1086,mutual_B3_poor_vis,mutual_knowledge,poor_visibility,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1087,mutual_C_cooperate,mutual_knowledge,none,cooperate,leash_hook_table,hook,hook,I think it is on the hook.,hook,hook,1.0,1.0
OLMo-3-1025-7B,1088,asym_A1_expert,asymmetric_knowledge,expert,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1089,asym_A2_unreliable,asymmetric_knowledge,unreliable,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,108,asym_B1_forgetting,asymmetric_knowledge,forgetting,adversarial,binder_shelf_desk,desk,shelf,I think it is on the desk.,desk,desk,1.0,0.0
OLMo-3-1025-7B,1090,asym_A3_incentivized,asymmetric_knowledge,incentivized,adversarial,leash_hook_table,hook,table,I think it is on the table.,table,hook,0.0,1.0
OLMo-3-1025-7B,1091,asym_A4_malicious,asymmetric_knowledge,malicious,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1092,asym_B1_forgetting,asymmetric_knowledge,forgetting,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1093,asym_B2_intervening,asymmetric_knowledge,intervening,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1094,asym_B3_poor_vis,asymmetric_knowledge,poor_visibility,adversarial,leash_hook_table,hook,table,I think it is on the table.,table,hook,0.0,1.0
OLMo-3-1025-7B,1095,asym_C_cooperate,asymmetric_knowledge,none,cooperate,leash_hook_table,hook,hook,LEAVE.,,hook,,
OLMo-3-1025-7B,1096,conflict_A1_expert,conflicting_evidence,expert,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1097,conflict_A2_unreliable,conflicting_evidence,unreliable,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1098,conflict_A3_incentivized,conflicting_evidence,incentivized,adversarial,leash_hook_table,hook,table,I think it is on the table.,table,hook,0.0,1.0
OLMo-3-1025-7B,1099,conflict_A4_malicious,conflicting_evidence,malicious,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,109,asym_B2_intervening,asymmetric_knowledge,intervening,adversarial,binder_shelf_desk,desk,shelf,I think it is on the desk.,desk,desk,1.0,0.0
OLMo-3-1025-7B,10,asym_A3_incentivized,asymmetric_knowledge,incentivized,adversarial,apron_hook_drawer,drawer,hook,I think it is in the drawer.,drawer,drawer,1.0,0.0
OLMo-3-1025-7B,1100,conflict_B1_forgetting,conflicting_evidence,forgetting,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1101,conflict_B2_intervening,conflicting_evidence,intervening,adversarial,leash_hook_table,hook,table,I think it is on the table.,table,hook,0.0,1.0
OLMo-3-1025-7B,1102,conflict_B3_poor_vis,conflicting_evidence,poor_visibility,adversarial,leash_hook_table,hook,table,LEAVE.,,hook,,
OLMo-3-1025-7B,1103,conflict_C_cooperate,conflicting_evidence,none,cooperate,leash_hook_table,hook,hook,LEAVE.,,hook,,
OLMo-3-1025-7B,1104,mutual_A1_expert,mutual_knowledge,expert,adversarial,lens_bag_case,bag,case,LEAVE.,,bag,,
OLMo-3-1025-7B,1105,mutual_A2_unreliable,mutual_knowledge,unreliable,adversarial,lens_bag_case,bag,case,LEAVE.,,bag,,
OLMo-3-1025-7B,1106,mutual_A3_incentivized,mutual_knowledge,incentivized,adversarial,lens_bag_case,bag,case,I think it is in the bag.,bag,bag,1.0,0.0
OLMo-3-1025-7B,1107,mutual_A4_malicious,mutual_knowledge,malicious,adversarial,lens_bag_case,bag,case,I think it is in the bag.,bag,bag,1.0,0.0
OLMo-3-1025-7B,1108,mutual_B1_forgetting,mutual_knowledge,forgetting,adversarial,lens_bag_case,bag,case,LEAVE.,,bag,,
OLMo-3-1025-7B,1109,mutual_B2_intervening,mutual_knowledge,intervening,adversarial,lens_bag_case,bag,case,I think it is in the bag.,bag,bag,1.0,0.0
OLMo-3-1025-7B,110,asym_B3_poor_vis,asymmetric_knowledge,poor_visibility,adversarial,binder_shelf_desk,desk,shelf,I think it is on the desk.,desk,desk,1.0,0.0
OLMo-3-1025-7B,1110,mutual_B3_poor_vis,mutual_knowledge,poor_visibility,adversarial,lens_bag_case,bag,case,I think it is in the bag.,bag,bag,1.0,0.0
OLMo-3-1025-7B,1111,mutual_C_cooperate,mutual_knowledge,none,cooperate,lens_bag_case,bag,bag,I think it is in the bag.,bag,bag,1.0,1.0
OLMo-3-1025-7B,1112,asym_A1_expert,asymmetric_knowledge,expert,adversarial,lens_bag_case,bag,case,LEAVE.,,bag,,
OLMo-3-1025-7B,1113,asym_A2_unreliable,asymmetric_knowledge,unreliable,adversarial,lens_bag_case,bag,case,I think it is in the bag.,bag,bag,1.0,0.0
OLMo-3-1025-7B,1114,asym_A3_incentivized,asymmetric_knowledge,incentivized,adversarial,lens_bag_case,bag,case,I think it is in the bag.,bag,bag,1.0,0.0
OLMo-3-1025-7B,1115,asym_A4_malicious,asymmetric_knowledge,malicious,adversarial,lens_bag_case,bag,case,Which case?,case,bag,0.0,1.0
OLMo-3-1025-7B,1116,asym_B1_forgetting,asymmetric_knowledge,forgetting,adversarial,lens_bag_case,bag,case,Which case?,case,bag,0.0,1.0
OLMo-3-1025-7B,1117,asym_B2_intervening,asymmetric_knowledge,intervening,adversarial,lens_bag_case,bag,case,I think it is in the bag.,bag,bag,1.0,0.0
OLMo-3-1025-7B,1118,asym_B3_poor_vis,asymmetric_knowledge,poor_visibility,adversarial,lens_bag_case,bag,case,I think it is in the bag.,bag,bag,1.0,0.0
OLMo-3-1025-7B,1119,asym_C_cooperate,asymmetric_knowledge,none,cooperate,lens_bag_case,bag,bag,I think it is in the bag.,bag,bag,1.0,1.0
OLMo-3-1025-7B,111,asym_C_cooperate,asymmetric_knowledge,none,cooperate,binder_shelf_desk,desk,desk,I think it is on the desk.,desk,desk,1.0,1.0
OLMo-3-1025-7B,1120,conflict_A1_expert,conflicting_evidence,expert,adversarial,lens_bag_case,bag,case,LEAVE.,,bag,,
OLMo-3-1025-7B,1121,conflict_A2_unreliable,conflicting_evidence,unreliable,adversarial,lens_bag_case,bag,case,I think it is in the bag.,bag,bag,1.0,0.0
OLMo-3-1025-7B,1122,conflict_A3_incentivized,conflicting_evidence,incentivized,adversarial,lens_bag_case,bag,case,I think it is in the bag.,bag,bag,1.0,0.0
OLMo-3-1025-7B,1123,conflict_A4_malicious,conflicting_evidence,malicious,adversarial,lens_bag_case,bag,case,I think it is in the bag.,bag,bag,1.0,0.0
OLMo-3-1025-7B,1124,conflict_B1_forgetting,conflicting_evidence,forgetting,adversarial,lens_bag_case,bag,case,I think it is in the case.,case,bag,0.0,1.0
OLMo-3-1025-7B,1125,conflict_B2_intervening,conflicting_evidence,intervening,adversarial,lens_bag_case,bag,case,I think it is in the case.,case,bag,0.0,1.0
OLMo-3-1025-7B,1126,conflict_B3_poor_vis,conflicting_evidence,poor_visibility,adversarial,lens_bag_case,bag,case,I think it is in the case.,case,bag,0.0,1.0
OLMo-3-1025-7B,1127,conflict_C_cooperate,conflicting_evidence,none,cooperate,lens_bag_case,bag,bag,I'll check the bag.,bag,bag,1.0,1.0
OLMo-3-1025-7B,1128,mutual_A1_expert,mutual_knowledge,expert,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1129,mutual_A2_unreliable,mutual_knowledge,unreliable,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,112,conflict_A1_expert,conflicting_evidence,expert,adversarial,binder_shelf_desk,desk,shelf,I think it is on the desk.,desk,desk,1.0,0.0
OLMo-3-1025-7B,1130,mutual_A3_incentivized,mutual_knowledge,incentivized,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1131,mutual_A4_malicious,mutual_knowledge,malicious,adversarial,letter_mailbox_mat,mat,mailbox,I think it is on the door mat.,mat,mat,1.0,0.0
OLMo-3-1025-7B,1132,mutual_B1_forgetting,mutual_knowledge,forgetting,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1133,mutual_B2_intervening,mutual_knowledge,intervening,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1134,mutual_B3_poor_vis,mutual_knowledge,poor_visibility,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1135,mutual_C_cooperate,mutual_knowledge,none,cooperate,letter_mailbox_mat,mat,mat,LEAVE.,,mat,,
OLMo-3-1025-7B,1136,asym_A1_expert,asymmetric_knowledge,expert,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1137,asym_A2_unreliable,asymmetric_knowledge,unreliable,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
OLMo-3-1025-7B,1138,asym_A3_incentivized,asymmetric_knowledge,incentivized,adversarial,letter_mailbox_mat,mat,mailbox,LEAVE.,,mat,,
