pair,model_1,model_2,scenario,condition,episode_idx,correct,final_choice,n_turns,guide_goal_failure,guide_says_leave,no_leave,null_choice,ambiguous_leave,substring_match,prompt_leakage,cascade_leakage,repetitive_loop,max_turns_hit,single_word_seeker,multi_leave,ava_parroting,parenthetical_aside,meta_commentary,tier1_count,tier2_count,tier3_count,any_quality_issue,measurement_suspect
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,key_in_boxes,shared_help,0,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,flashlight_drawer_shelf,false_help,100,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,flashlight_drawer_shelf,false_deceive,101,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,scissors_cabinet_desk,shared_help,102,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,scissors_cabinet_desk,shared_deceive,103,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,scissors_cabinet_desk,ignorance_help,104,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,scissors_cabinet_desk,ignorance_deceive,105,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,scissors_cabinet_desk,false_help,106,0,,16,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,6,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,scissors_cabinet_desk,false_deceive,107,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
DeepSeek-R1-Distill-Llama-8B x DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,toy_bin_rug,shared_help,108,0,,16,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,5,0,1,0
