model,scenario_idx,n_proposes,n_concessions,n_accepts,n_rejects,n_inquiries,agreed,joint_score
DeepSeek-R1-Distill-Llama-8B,0,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,10,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,11,3,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,12,10,4,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,13,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,14,3,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,15,3,2,2,1,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,16,2,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,17,16,3,0,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,18,5,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,19,5,2,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,1,16,1,0,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,20,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,21,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,22,2,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,23,1,0,1,0,0,1,13.0
DeepSeek-R1-Distill-Llama-8B,24,3,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,25,6,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,26,3,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,27,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,28,3,1,1,0,0,1,16.0
DeepSeek-R1-Distill-Llama-8B,29,1,0,1,0,0,1,16.0
DeepSeek-R1-Distill-Llama-8B,2,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,30,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,31,2,0,1,0,0,1,18.0
DeepSeek-R1-Distill-Llama-8B,32,2,0,1,0,0,1,16.0
DeepSeek-R1-Distill-Llama-8B,33,3,1,1,0,0,1,18.0
DeepSeek-R1-Distill-Llama-8B,34,3,1,1,0,0,1,13.0
DeepSeek-R1-Distill-Llama-8B,35,1,0,1,0,0,1,12.0
DeepSeek-R1-Distill-Llama-8B,36,4,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,37,6,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,38,1,0,1,0,0,1,16.0
DeepSeek-R1-Distill-Llama-8B,39,1,0,1,0,0,1,16.0
DeepSeek-R1-Distill-Llama-8B,3,16,1,0,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,40,8,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,41,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,42,11,2,1,0,0,1,13.0
DeepSeek-R1-Distill-Llama-8B,43,1,0,1,0,0,1,18.0
DeepSeek-R1-Distill-Llama-8B,44,2,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,45,2,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,46,1,0,1,0,0,1,14.0
DeepSeek-R1-Distill-Llama-8B,47,2,1,1,0,0,1,18.0
DeepSeek-R1-Distill-Llama-8B,48,1,0,1,0,0,1,16.0
DeepSeek-R1-Distill-Llama-8B,49,1,0,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,4,4,2,1,0,0,1,15.0
DeepSeek-R1-Distill-Llama-8B,50,4,1,1,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,51,3,1,1,0,0,1,15.0
DeepSeek-R1-Distill-Llama-8B,52,15,1,0,0,0,0,0.0
DeepSeek-R1-Distill-Llama-8B,53,4,0,1,0,0,1,18.0
DeepSeek-R1-Distill-Llama-8B,54,1,0,1,0,0,0,0.0
