model,scenario_idx,turn,speaker,text,acts,parsed_alloc,speaker_score
DeepSeek-R1-Distill-Llama-8B,0,0,Mia Sanders,I take 2 mugs and 1 plate; you take 2 plates and 1 bowl,propose,"{""mug"": 2, ""plate"": 1, ""bowl"": 0}",6
DeepSeek-R1-Distill-Llama-8B,0,1,Ava Thompson,I take 2 plates and 1 bowl; you take 2 mugs and 1 plate.,accept,"{""mug"": 2, ""plate"": 1, ""bowl"": 0}",9
DeepSeek-R1-Distill-Llama-8B,10,0,Mia Sanders,I take the pen (6 points); you take the notebook (1 point) and 2 markers (2 points).,propose,"{""notebook"": 0, ""pen"": 1, ""marker"": 0}",6
DeepSeek-R1-Distill-Llama-8B,10,1,Ava Thompson,I take the notebook and 2 markers; you take the pen.,accept,"{""notebook"": 0, ""pen"": 1, ""marker"": 0}",8
DeepSeek-R1-Distill-Llama-8B,11,0,Mia Sanders,I'll take the stapler and all the folders. You can take the tape dispenser.,propose,"{""stapler"": 1, ""tape dispenser"": 1, ""folder"": 3}",10
DeepSeek-R1-Distill-Llama-8B,11,1,Ava Thompson,I'll take the tape dispenser. Can we switch the stapler for one folder?,counter_propose,"{""stapler"": 0, ""tape dispenser"": 0, ""folder"": 2}",8
DeepSeek-R1-Distill-Llama-8B,11,2,Mia Sanders,I take the stapler and one folder; you take the tape dispenser and two folders.,"counter_propose,concede","{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 1}",8
DeepSeek-R1-Distill-Llama-8B,11,3,Ava Thompson,I take the tape dispenser and two folders; you take the stapler and one folder.,accept,"{""stapler"": 1, ""tape dispenser"": 0, ""folder"": 1}",8
DeepSeek-R1-Distill-Llama-8B,12,0,Mia Sanders,I take the calculator; you take the 3 binders.,propose,"{""binder"": 0, ""calculator"": 1, ""desk organizer"": 0}",1
DeepSeek-R1-Distill-Llama-8B,12,1,Ava Thompson,I take both desk organizers.,counter_propose,"{""binder"": 3, ""calculator"": 1, ""desk organizer"": 0}",8
DeepSeek-R1-Distill-Llama-8B,12,2,Mia Sanders,I take 3 binders; you take 1 calculator and 2 desk organizers.,counter_propose,"{""binder"": 3, ""calculator"": 0, ""desk organizer"": 0}",3
DeepSeek-R1-Distill-Llama-8B,12,3,Ava Thompson,,small_talk,,
DeepSeek-R1-Distill-Llama-8B,12,4,Mia Sanders,I take the calculator; you take the 3 binders.,"counter_propose,concede","{""binder"": 0, ""calculator"": 1, ""desk organizer"": 0}",1
DeepSeek-R1-Distill-Llama-8B,12,5,Ava Thompson,I take 1 calculator and 2 desk organizers; you take 3 binders.,counter_propose,"{""binder"": 3, ""calculator"": 0, ""desk organizer"": 0}",10
DeepSeek-R1-Distill-Llama-8B,12,6,Mia Sanders,I take both desk organizers; you take the calculator and 3 binders.,counter_propose,"{""binder"": 0, ""calculator"": 0, ""desk organizer"": 2}",6
DeepSeek-R1-Distill-Llama-8B,12,7,Ava Thompson,I take both desk organizers; you take the calculator and 3 binders.,"counter_propose,concede","{""binder"": 3, ""calculator"": 1, ""desk organizer"": 0}",8
DeepSeek-R1-Distill-Llama-8B,12,8,Mia Sanders,I take both desk organizers; you take the calculator and 3 binders.,"counter_propose,insist","{""binder"": 0, ""calculator"": 0, ""desk organizer"": 2}",6
DeepSeek-R1-Distill-Llama-8B,12,9,Ava Thompson,I take the calculator; you take the 3 binders.,counter_propose,"{""binder"": 3, ""calculator"": 0, ""desk organizer"": 0}",10
DeepSeek-R1-Distill-Llama-8B,12,10,Mia Sanders,I take the calculator and 3 binders; you take both desk organizers.,"counter_propose,concede","{""binder"": 3, ""calculator"": 1, ""desk organizer"": 0}",4
DeepSeek-R1-Distill-Llama-8B,12,11,Ava Thompson,I take both desk organizers; you take the calculator and 3 binders.,"accept,concede","{""binder"": 3, ""calculator"": 1, ""desk organizer"": 0}",8
DeepSeek-R1-Distill-Llama-8B,13,0,Mia Sanders,"""I’ll take the marker set and both name tags. You can have the poster boards.""",propose,"{""poster board"": 0, ""marker set"": 1, ""name tag"": 2}",10
DeepSeek-R1-Distill-Llama-8B,13,1,Ava Thompson,I take the 3 poster boards; you take the marker set and both name tags.,accept,"{""poster board"": 0, ""marker set"": 1, ""name tag"": 2}",3
DeepSeek-R1-Distill-Llama-8B,14,0,Mia Sanders,I take both whiteboard markers and the eraser; you take the two chalk boxes.,propose,"{""whiteboard marker"": 3, ""eraser"": 1, ""chalk box"": 0}",8
DeepSeek-R1-Distill-Llama-8B,14,1,Ava Thompson,I prefer the eraser; can we trade the chalk boxes for it?,counter_propose,"{""whiteboard marker"": 0, ""eraser"": 0, ""chalk box"": 2}",8
DeepSeek-R1-Distill-Llama-8B,14,2,Mia Sanders,I take 3 markers and the eraser; you take the 2 chalk boxes.,"counter_propose,insist","{""whiteboard marker"": 3, ""eraser"": 1, ""chalk box"": 0}",8
DeepSeek-R1-Distill-Llama-8B,14,3,Ava Thompson,I take 1 chalk box; you take 3 markers and the eraser.,"accept,concede","{""whiteboard marker"": 3, ""eraser"": 1, ""chalk box"": 0}",2
DeepSeek-R1-Distill-Llama-8B,15,0,Mia Sanders,I'll take the reference binder and the 2 USB drives; you can have the lab notebooks.,propose,"{""lab notebook"": 0, ""reference binder"": 1, ""USB drive"": 2}",10
DeepSeek-R1-Distill-Llama-8B,15,1,Ava Thompson,You take the reference binder and 2 USB drives; I take 3 lab notebooks.,counter_propose,"{""lab notebook"": 3, ""reference binder"": 0, ""USB drive"": 0}",4
DeepSeek-R1-Distill-Llama-8B,15,2,Mia Sanders,I can't accept that.,reject,,
DeepSeek-R1-Distill-Llama-8B,15,3,Ava Thompson,I take 3 lab notebooks; you take the reference binder and 2 USB drives.,accept,"{""lab notebook"": 0, ""reference binder"": 1, ""USB drive"": 2}",6
DeepSeek-R1-Distill-Llama-8B,15,4,Mia Sanders,I take 3 lab notebooks; you take the reference binder and 2 USB drives.,"counter_propose,concede","{""lab notebook"": 3, ""reference binder"": 0, ""USB drive"": 0}",0
DeepSeek-R1-Distill-Llama-8B,15,5,Ava Thompson,I take the reference binder and 2 USB drives; you take the lab notebooks.,"accept,concede","{""lab notebook"": 3, ""reference binder"": 0, ""USB drive"": 0}",4
DeepSeek-R1-Distill-Llama-8B,16,0,Mia Sanders,I’ll take both sticky note pads and the pencil cup. You can have the two paper clip boxes. LEAVEI ta,propose,"{""sticky note pad"": 2, ""paper clip box"": 2, ""pencil cup"": 1}",10
DeepSeek-R1-Distill-Llama-8B,16,1,Ava Thompson,I take 2 paper clip boxes; you take 2 sticky note pads and 1 pencil cup.,counter_propose,"{""sticky note pad"": 2, ""paper clip box"": 0, ""pencil cup"": 1}",0
DeepSeek-R1-Distill-Llama-8B,16,2,Mia Sanders,I take 2 sticky note pads and 1 pencil cup; you take 2 paper clip boxes.,"accept,concede","{""sticky note pad"": 2, ""paper clip box"": 0, ""pencil cup"": 1}",8
DeepSeek-R1-Distill-Llama-8B,17,0,Mia Sanders,I take 1 badge holder and 1 workbook; you take 1 workbook and 2 lanyards.,propose,"{""workbook"": 1, ""lanyard"": 0, ""badge holder"": 1}",8
DeepSeek-R1-Distill-Llama-8B,17,1,Ava Thompson,I take 1 badge holder and 1 workbook; you take 1 workbook and 2 lanyards.,counter_propose,"{""workbook"": 1, ""lanyard"": 2, ""badge holder"": 0}",5
DeepSeek-R1-Distill-Llama-8B,17,2,Mia Sanders,I take 1 badge holder and 1 workbook; you take 1 workbook and 2 lanyards.,"counter_propose,insist","{""workbook"": 1, ""lanyard"": 0, ""badge holder"": 1}",8
DeepSeek-R1-Distill-Llama-8B,17,3,Ava Thompson,I take 2 workbooks and 1 lanyard; you take 1 lanyard and 1 badge holder.,counter_propose,"{""workbook"": 0, ""lanyard"": 1, ""badge holder"": 1}",7
DeepSeek-R1-Distill-Llama-8B,17,4,Mia Sanders,I take 2 workbooks and 1 lanyard; you take 0 workbooks and 1 lanyard.,"counter_propose,concede","{""workbook"": 2, ""lanyard"": 1, ""badge holder"": 0}",4
DeepSeek-R1-Distill-Llama-8B,17,5,Ava Thompson,I take 1 badge holder and 1 lanyard; you take 0 workbooks and 0 lanyards.,counter_propose,"{""workbook"": 0, ""lanyard"": 0, ""badge holder"": 0}",10
