pattern,episode,item,true_location,other_location,belief,mia_opening,ava_response,final_choice,correct
The X is [prep] Y,0,apron,drawer,hook,shared_truth,The apron is on the drawer.,"Great, I will check the drawer. LEAVE",drawer,1
The X is [prep] Y,0,apron,drawer,hook,ignorance,The apron is on the drawer.,I will check the drawer then. LEAVE,drawer,1
The X is [prep] Y,1,badge,desk,hook by the door,shared_truth,The badge is on the desk.,"Great, I'll check the desk. LEAVE",desk,1
The X is [prep] Y,1,badge,desk,hook by the door,ignorance,The badge is on the desk.,I will check the desk. LEAVE.,desk,1
The X is [prep] Y,2,ball,garage,yard,shared_truth,The ball is in the garage.,"Great, I'll go check the garage. LEAVE.",garage,1
The X is [prep] Y,2,ball,garage,yard,ignorance,The ball is in the garage.,"Thanks, I'll check the garage. LEAVE.",garage,1
The X is [prep] Y,3,belt,chair,closet,shared_truth,The belt is on the chair.,"Thanks, I'll check the chair. LEAVE.",chair,1
The X is [prep] Y,3,belt,chair,closet,ignorance,The belt is on the chair.,I'll check the chair then. LEAVE.,chair,1
The X is [prep] Y,4,binder,desk,shelf,shared_truth,The binder is on the desk.,"Thanks, I'll check the desk. LEAVE",desk,1
The X is [prep] Y,4,binder,desk,shelf,ignorance,The binder is on the desk.,"Thanks, I will check the desk. LEAVE.",desk,1
The X is [prep] Y,5,blanket,bed,chair,shared_truth,The blanket is on the bed.,"Thanks, I'll check the bed. LEAVE.",bed,1
The X is [prep] Y,5,blanket,bed,chair,ignorance,The blanket is on the bed.,"Thanks, I'll look on the bed. LEAVE.",bed,1
The X is [prep] Y,6,book,shelf,bag,shared_truth,The book is on the shelf.,I'll check the shelf. LEAVE.,shelf,1
The X is [prep] Y,6,book,shelf,bag,ignorance,The book is on the shelf.,"Thanks, I'll check the shelf. LE",,
The X is [prep] Y,7,bottle,counter,fridge,shared_truth,The bottle is on the counter.,"Thanks, I'll look on the counter. LEAVE",counter,1
The X is [prep] Y,7,bottle,counter,fridge,ignorance,The bottle is on the counter.,"Thanks, I'll check the counter. LEAVE",counter,1
The X is [prep] Y,8,bowl,table,counter,shared_truth,The bowl is on the table.,I will check the table then. LEAVE,table,1
The X is [prep] Y,8,bowl,table,counter,ignorance,The bowl is on the table.,"Thanks, I'll check the table. LEAVE",table,1
The X is [prep] Y,9,broom,closet,corner,shared_truth,The broom is in the closet.,I'll check the closet then. LEAVE.,closet,1
The X is [prep] Y,9,broom,closet,corner,ignorance,The broom is in the closet.,"Got it, I will check the closet. LEAVE",closet,1
The X is [prep] Y,10,brush,drawer,counter,shared_truth,The brush is right there on the drawer.,"Got it, I'll look on the drawer. LEAVE.",drawer,1
The X is [prep] Y,10,brush,drawer,counter,ignorance,The brush is right there on the drawer.,"Thanks, I'll check the drawer. LEAVE",drawer,1
The X is [prep] Y,11,bulb,box,shelf,shared_truth,The bulb is on the box.,"Thanks, I'll check the box. LEAVE",box,1
The X is [prep] Y,11,bulb,box,shelf,ignorance,The bulb is on the box.,I will look on the box. LEAVE,box,1
The X is [prep] Y,12,cable,desk,floor underneath,shared_truth,The cable is right here on the desk.,"Thanks, I'll take it from the desk. LEAVE",desk,1
The X is [prep] Y,12,cable,desk,floor underneath,ignorance,The cable is right here on the desk.,"Thanks, I'll check the desk. LEAVE",desk,1
The X is [prep] Y,13,camera,shelf,bag,shared_truth,The camera is on the shelf.,"Thanks, I'll check the shelf. LEAVE.",shelf,1
The X is [prep] Y,13,camera,shelf,bag,ignorance,The camera is on the shelf.,"Thanks, I will check the shelf. LEAVE",shelf,1
The X is [prep] Y,14,candle,mantle,side table,shared_truth,The candle is on the mantle.,Thank you. I will check the mantle. LEAVE,mantle,1
The X is [prep] Y,14,candle,mantle,side table,ignorance,The candle is on the mantle.,I will look on the mantle. LEAVE,mantle,1
The X is [prep] Y,15,chain,hook,box,shared_truth,The chain is on the hook.,"Thanks, I'll look on the hook. LEAVE",hook,1
The X is [prep] Y,15,chain,hook,box,ignorance,The chain is on the hook.,I will check the hook. LEAVE.,hook,1
The X is [prep] Y,16,chalk,box,chalk tray,shared_truth,The chalk is in the box.,I'll look in the box then. LEAVE,box,1
The X is [prep] Y,16,chalk,box,chalk tray,ignorance,The chalk is in the box.,I will look in the box. LEAVE.,box,1
The X is [prep] Y,17,charger,desk,bed,shared_truth,The charger is on the desk.,I'll check the desk then. LEAVE.,desk,1
The X is [prep] Y,17,charger,desk,bed,ignorance,The charger is on the desk.,"Thanks, I'll look on the desk. LEAVE",desk,1
The X is [prep] Y,18,clip,desk,paper tray,shared_truth,The clip is on the desk.,I'll look on the desk then. LEAVE.,desk,1
The X is [prep] Y,18,clip,desk,paper tray,ignorance,The clip is on the desk.,"Thanks, I'll look on the desk. LE",,
The X is [prep] Y,19,clipboard,desk,shelf,shared_truth,The clipboard is on the desk.,"Thanks, I'll check the desk. LEAVE.",desk,1
The X is [prep] Y,19,clipboard,desk,shelf,ignorance,The clipboard is on the desk.,I will check the desk then. LEAVE,desk,1
The X is [prep] Y,20,cloth,basket,drying rack,shared_truth,The cloth is right there on the basket.,"Thanks, I'll check the basket. LEAVE.",basket,1
The X is [prep] Y,20,cloth,basket,drying rack,ignorance,The cloth is right there on the basket.,"Thanks, I'll check the basket. LEAVE.",basket,1
The X is [prep] Y,21,coin,pocket,jar,shared_truth,The coin is in the coat pocket.,I'll look in the coat pocket. LEAVE.,pocket,1
The X is [prep] Y,21,coin,pocket,jar,ignorance,The coin is in the coat pocket.,I will check the coat pocket. LEAVE.,pocket,1
The X is [prep] Y,22,comb,drawer,shelf,shared_truth,The comb is on the drawer.,I'll check the drawer then. LEAVE,drawer,1
The X is [prep] Y,22,comb,drawer,shelf,ignorance,The comb is on the drawer.,"Thanks, I'll check the drawer. LEAVE.",drawer,1
The X is [prep] Y,23,cord,basket,desk,shared_truth,The cord is on the basket.,I'll check the basket then. LEAVE.,basket,1
The X is [prep] Y,23,cord,basket,desk,ignorance,The cord is on the basket.,"Thanks, I'll check the basket. LEAVE",basket,1
The X is [prep] Y,24,cup,shelf,table,shared_truth,The cup is on the shelf.,I'll look on the shelf. LEAVE,shelf,1
The X is [prep] Y,24,cup,shelf,table,ignorance,The cup is on the shelf.,I'll check the shelf. LEAVE,shelf,1
The X is [prep] Y,25,dice,table,cup,shared_truth,The dice is on the table.,I'll check the table then. LEAVE,table,1
The X is [prep] Y,25,dice,table,cup,ignorance,The dice is on the table.,I will look on the table. LEAVE,table,1
The X is [prep] Y,26,drill,bench,tool case,shared_truth,The drill is on the workbench.,"Thanks, I'll check the workbench. LEAVE",bench,1
The X is [prep] Y,26,drill,bench,tool case,ignorance,The drill is on the workbench.,I will check the workbench. LEAVE,bench,1
The X is [prep] Y,27,fan,shelf,floor,shared_truth,The fan is on the shelf.,I'll check the shelf. LEAVE.,shelf,1
The X is [prep] Y,27,fan,shelf,floor,ignorance,The fan is on the shelf.,"Got it, I'll check the shelf. LEAVE.",shelf,1
The X is [prep] Y,28,film,shelf,drawer,shared_truth,The film is on the shelf.,I'll check the shelf then. LEAVE,shelf,1
The X is [prep] Y,28,film,shelf,drawer,ignorance,The film is on the shelf.,I'll check the shelf. LEAVE,shelf,1
The X is [prep] Y,29,flag,pole,storage box,shared_truth,The flag is on the pole.,"Thanks, I will check the pole. LEAVE",pole,1
The X is [prep] Y,29,flag,pole,storage box,ignorance,The flag is on the pole.,"Thanks, I'll check the pole. LEAVE.",pole,1
The X is [prep] Y,30,flashlight,drawer,shelf,shared_truth,The flashlight is on the drawer.,"Thanks, I'll check the drawer. LEAVE.",drawer,1
The X is [prep] Y,30,flashlight,drawer,shelf,ignorance,The flashlight is on the drawer.,"Thanks, I'll check the drawer. LEAVE",drawer,1
The X is [prep] Y,31,flask,locker,desk,shared_truth,The flask is on the locker.,I'll check the locker. LEAVE,locker,1
The X is [prep] Y,31,flask,locker,desk,ignorance,The flask is on the locker.,"Thanks, I'll check the locker. LEAVE",locker,1
The X is [prep] Y,32,fork,counter,drawer,shared_truth,The fork is on the counter.,"Thanks, I'll check the counter. LEAVE",counter,1
The X is [prep] Y,32,fork,counter,drawer,ignorance,The fork is on the counter.,"Thanks, I'll grab it from the counter. LEAVE.",counter,1
The X is [prep] Y,33,frame,wall,desk,shared_truth,The frame is right there on the wall.,"Perfect, I'll check the wall. LEAVE",wall,1
The X is [prep] Y,33,frame,wall,desk,ignorance,The frame is right there on the wall.,"Thanks, I'll check the wall. LEAVE",wall,1
The X is [prep] Y,34,glasses,shelf,counter,shared_truth,The glasses is right there on the shelf.,"Thanks, I'll look on the shelf. LEAVE",shelf,1
The X is [prep] Y,34,glasses,shelf,counter,ignorance,The glasses is right there on the shelf.,"Thanks, I'll check the shelf. LEAVE.",shelf,1
The X is [prep] Y,35,globe,shelf,desk,shared_truth,The globe is on the shelf.,I will look on the shelf. LEAVE,shelf,1
The X is [prep] Y,35,globe,shelf,desk,ignorance,The globe is on the shelf.,"Thanks, I'll check the shelf. LEAVE",shelf,1
The X is [prep] Y,36,glove,bench,coat pocket,shared_truth,The glove is right over there on the bench.,"Perfect, I'll check the bench. LEAVE.",bench,1
The X is [prep] Y,36,glove,bench,coat pocket,ignorance,The glove is right over there on the bench.,I'll check the bench. LEAVE,bench,1
The X is [prep] Y,37,hammer,floor,shelf,shared_truth,The hammer is on the floor.,"Thanks, I'll look on the floor. LEAVE.",floor,1
The X is [prep] Y,37,hammer,floor,shelf,ignorance,The hammer is on the floor.,I will look on the floor. LEAVE.,floor,1
The X is [prep] Y,38,hat,hook,chair,shared_truth,The hat is on the hook.,"Thanks, I'll check the hook. LEAVE",hook,1
The X is [prep] Y,38,hat,hook,chair,ignorance,The hat is on the hook.,I'll check the hook. LEAVE,hook,1
The X is [prep] Y,39,jacket,hook,chair,shared_truth,The jacket is hanging on the coat hook.,I'll check the coat hook. LEAVE.,hook,1
The X is [prep] Y,39,jacket,hook,chair,ignorance,The jacket is hanging on the coat hook.,"Thanks, I'll check the coat hook. LEAVE",hook,1
The X is [prep] Y,40,jar,counter,shelf,shared_truth,The jar is on the counter.,I will check the counter then. LEAVE.,counter,1
The X is [prep] Y,40,jar,counter,shelf,ignorance,The jar is on the counter.,"Got it, I will look on the counter. LEAVE",counter,1
The X is [prep] Y,41,key,red box,blue box,shared_truth,The key is in the red box.,I will check the red box. LEAVE.,red box,1
The X is [prep] Y,41,key,red box,blue box,ignorance,The key is in the red box.,I'll check the red box. LEAVE.,red box,1
The X is [prep] Y,42,knob,box,shelf,shared_truth,The knob is on the box.,"Thanks, I will check the box. LEAVE",box,1
The X is [prep] Y,42,knob,box,shelf,ignorance,The knob is on the box.,"Thank you, I'll check the box. LEAVE.",box,1
The X is [prep] Y,43,lantern,truck,tent,shared_truth,The lantern is in the truck.,"Perfect, I'll go get it from the truck. LEAVE",truck,1
The X is [prep] Y,43,lantern,truck,tent,ignorance,The lantern is in the truck.,"Thanks, I'll check the truck. LEAVE",truck,1
The X is [prep] Y,44,lanyard,locker,desk,shared_truth,The lanyard is over there on the locker.,"Great, I'll check the locker then. LEAVE.",locker,1
The X is [prep] Y,44,lanyard,locker,desk,ignorance,The lanyard is over there on the locker.,I'll check the locker. LEAVE,locker,1
The X is [prep] Y,45,leash,hook,table,shared_truth,The leash is on the hook.,"Thanks, I'll check the hook. LEAVE",hook,1
The X is [prep] Y,45,leash,hook,table,ignorance,The leash is on the hook.,"Thank you, I'll check the hook. LEAVE.",hook,1
The X is [prep] Y,46,lens,bag,lens case,shared_truth,The lens is in the bag.,I'll check the bag then. LEAVE.,bag,1
