checkpoint,outcome,factor,n_levels,eta_squared,p_value
Base,flip,question_id,360,0.255420960711252,1.1102230246251565e-16
Base,flip,cue_id,19,0.2576269867315179,1.1102230246251565e-16
Base,flip,question_domain,19,0.052357636890220854,1.1102230246251565e-16
Base,shift,question_id,360,0.7103743700031846,1.1102230246251565e-16
Base,shift,cue_id,19,0.025047301972358434,2.1538326677728037e-14
Base,shift,question_domain,19,0.11270516482865266,1.1102230246251565e-16
Base,shift_norm,question_id,360,0.47402179584532694,1.1102230246251565e-16
Base,shift_norm,cue_id,19,0.1392291244762494,1.1102230246251565e-16
Base,shift_norm,question_domain,19,0.07423239325639888,1.1102230246251565e-16
DPO,flip,question_id,360,0.2514832254560675,1.1102230246251565e-16
DPO,flip,cue_id,19,0.27301309168290594,1.1102230246251565e-16
DPO,flip,question_domain,19,0.018835830177686176,1.2382834757573846e-09
DPO,shift,question_id,360,0.3246928455555453,1.1102230246251565e-16
DPO,shift,cue_id,19,0.12718272240318687,1.1102230246251565e-16
DPO,shift,question_domain,19,0.03907287277997424,1.1102230246251565e-16
DPO,shift_norm,question_id,360,0.21970096584728982,1.1102230246251565e-16
DPO,shift_norm,cue_id,19,0.20460847293917436,1.1102230246251565e-16
DPO,shift_norm,question_domain,19,0.011091104913034383,0.0002605754431250773
RLVR,flip,question_id,360,0.2437245282661828,1.1102230246251565e-16
RLVR,flip,cue_id,19,0.3341781732731058,1.1102230246251565e-16
RLVR,flip,question_domain,19,0.017055871761898777,2.4691265143594876e-08
RLVR,shift,question_id,360,0.3016736797787353,1.1102230246251565e-16
RLVR,shift,cue_id,19,0.2397743729852341,1.1102230246251565e-16
RLVR,shift,question_domain,19,0.03687900005374546,1.1102230246251565e-16
RLVR,shift_norm,question_id,360,0.22734990209085287,1.1102230246251565e-16
RLVR,shift_norm,cue_id,19,0.2807340377653223,1.1102230246251565e-16
RLVR,shift_norm,question_domain,19,0.013491755216670022,7.44548888231833e-06
SFT,flip,question_id,360,0.2516478897837292,1.1102230246251565e-16
SFT,flip,cue_id,19,0.28309635595686433,1.1102230246251565e-16
SFT,flip,question_domain,19,0.021793109972413977,7.32336413733492e-12
SFT,shift,question_id,360,0.36646843594246137,1.1102230246251565e-16
SFT,shift,cue_id,19,0.09501379579014,1.1102230246251565e-16
SFT,shift,question_domain,19,0.07411449267141473,1.1102230246251565e-16
SFT,shift_norm,question_id,360,0.20888095661850764,1.1102230246251565e-16
SFT,shift_norm,cue_id,19,0.23870597193968154,1.1102230246251565e-16
SFT,shift_norm,question_domain,19,0.01436082469272585,1.9281265505322054e-06
