pattern,belief,n_total,n_valid,accuracy
The X is [prep] Y,shared_truth,100,99,1.0
The X is [prep] Y,ignorance,100,99,1.0
The X is [prep] Y,false_belief,100,72,0.8194444444444444
The X you're looking for is Y,shared_truth,100,99,1.0
The X you're looking for is Y,ignorance,100,99,1.0
The X you're looking for is Y,false_belief,100,70,0.8
If you're looking for X,shared_truth,100,99,1.0
If you're looking for X,ignorance,100,99,1.0
If you're looking for X,false_belief,100,80,0.775
Are you looking for X?,shared_truth,100,99,1.0
Are you looking for X?,ignorance,100,99,1.0
Are you looking for X?,false_belief,100,84,0.8809523809523809
Looking for X?,shared_truth,100,99,1.0
Looking for X?,ignorance,100,99,1.0
Looking for X?,false_belief,100,76,0.7105263157894737
I saw X on/in Y,shared_truth,100,99,1.0
I saw X on/in Y,ignorance,100,99,1.0
I saw X on/in Y,false_belief,100,79,0.8734177215189873
"Vocative (Ava/Hey Ava, ...)",shared_truth,100,99,1.0
"Vocative (Ava/Hey Ava, ...)",ignorance,100,99,1.0
"Vocative (Ava/Hey Ava, ...)",false_belief,100,75,0.92
Your X is on/in Y,shared_truth,100,99,1.0
Your X is on/in Y,ignorance,100,99,1.0
Your X is on/in Y,false_belief,100,78,0.8974358974358975
I think X is in Y,shared_truth,100,99,1.0
I think X is in Y,ignorance,100,99,1.0
I think X is in Y,false_belief,100,60,0.31666666666666665
If you need X,shared_truth,100,99,1.0
If you need X,ignorance,100,99,1.0
If you need X,false_belief,100,87,0.8850574712643678
Bare anaphoric (It's in Y),shared_truth,100,99,1.0
Bare anaphoric (It's in Y),ignorance,100,99,1.0
Bare anaphoric (It's in Y),false_belief,100,85,0.7764705882352941
Imperative (Check...),shared_truth,100,99,1.0
Imperative (Check...),ignorance,100,99,1.0
Imperative (Check...),false_belief,100,66,0.6666666666666666
"You're looking for X, right?",shared_truth,100,99,1.0
"You're looking for X, right?",ignorance,100,99,1.0
"You're looking for X, right?",false_belief,100,71,0.8169014084507042
