pair,scenario,condition,correct
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,apron,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,apron,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,apron,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,apron,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,apron,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,apron,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,apron,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen3-8B,apron,false_deceive,0
Meta-Llama-3-8B-Instruct × allenai_OLMo-3-7B-Instruct,apron,false_deceive,0
Mistral-7B-Instruct-v0.2 × Meta-Llama-3-8B-Instruct,apron,false_deceive,0
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,apron,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,apron,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen3-8B,apron,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,apron,false_deceive,0
Mistral-7B-Instruct-v0.2 × allenai_OLMo-3-7B-Instruct,apron,false_deceive,0
Mistral-7B-Instruct-v0.3 × Meta-Llama-3-8B-Instruct,apron,false_deceive,0
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.2,apron,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,apron,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen3-8B,apron,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,apron,false_deceive,0
Mistral-7B-Instruct-v0.3 × allenai_OLMo-3-7B-Instruct,apron,false_deceive,0
Qwen2.5-7B-Instruct × Meta-Llama-3-8B-Instruct,apron,false_deceive,0
Qwen2.5-7B-Instruct × Mistral-7B-Instruct-v0.2,apron,false_deceive,0
Qwen2.5-7B-Instruct × Qwen3-8B,apron,false_deceive,0
Qwen2.5-7B-Instruct × Qwen_Qwen3-14B,apron,false_deceive,0
Qwen2.5-7B-Instruct × allenai_OLMo-3-7B-Instruct,apron,false_deceive,1
allenai_OLMo-3-7B-Instruct × Meta-Llama-3-8B-Instruct,apron,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.2,apron,false_deceive,0
allenai_OLMo-3-7B-Instruct × Mistral-7B-Instruct-v0.3,apron,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen2.5-7B-Instruct,apron,false_deceive,0
allenai_OLMo-3-7B-Instruct × Qwen3-8B,apron,false_deceive,1
allenai_OLMo-3-7B-Instruct × Qwen_Qwen3-14B,apron,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.2,badge,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Mistral-7B-Instruct-v0.3,badge,false_deceive,1
DeepSeek-R1-Distill-Llama-8B × Qwen2.5-7B-Instruct,badge,false_deceive,0
DeepSeek-R1-Distill-Llama-8B × Qwen3-8B,badge,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.2,badge,false_deceive,0
Meta-Llama-3-8B-Instruct × Mistral-7B-Instruct-v0.3,badge,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen2.5-7B-Instruct,badge,false_deceive,0
Meta-Llama-3-8B-Instruct × Qwen3-8B,badge,false_deceive,0
Meta-Llama-3-8B-Instruct × allenai_OLMo-3-7B-Instruct,badge,false_deceive,0
Mistral-7B-Instruct-v0.2 × Meta-Llama-3-8B-Instruct,badge,false_deceive,0
Mistral-7B-Instruct-v0.2 × Mistral-7B-Instruct-v0.3,badge,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen2.5-7B-Instruct,badge,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen3-8B,badge,false_deceive,0
Mistral-7B-Instruct-v0.2 × Qwen_Qwen3-14B,badge,false_deceive,1
Mistral-7B-Instruct-v0.2 × allenai_OLMo-3-7B-Instruct,badge,false_deceive,0
Mistral-7B-Instruct-v0.3 × Meta-Llama-3-8B-Instruct,badge,false_deceive,0
Mistral-7B-Instruct-v0.3 × Mistral-7B-Instruct-v0.2,badge,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen2.5-7B-Instruct,badge,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen3-8B,badge,false_deceive,0
Mistral-7B-Instruct-v0.3 × Qwen_Qwen3-14B,badge,false_deceive,0
Mistral-7B-Instruct-v0.3 × allenai_OLMo-3-7B-Instruct,badge,false_deceive,0
Qwen2.5-7B-Instruct × Meta-Llama-3-8B-Instruct,badge,false_deceive,0
Qwen2.5-7B-Instruct × Mistral-7B-Instruct-v0.2,badge,false_deceive,0
Qwen2.5-7B-Instruct × Qwen3-8B,badge,false_deceive,1
