stage,episode,condition,belief_condition,trust_manipulation,goal_condition,scenario_type,true_location,mia_location,ava_response,ava_choice,b_gold,correct,follows_mia
OLMo-2-1124-7B-Base,0,mutual_A1_expert,mutual_knowledge,expert,adversarial,apron_hook_drawer,drawer,hook,On the hook? I thought Sam put it on the drawer.,drawer,drawer,1.0,0.0
OLMo-2-1124-7B-Base,1000,conflict_A1_expert,conflicting_evidence,expert,adversarial,key_in_boxes,red box,blue box,Which one is the blue box?,blue box,red box,0.0,1.0
OLMo-2-1124-7B-Base,1001,conflict_A2_unreliable,conflicting_evidence,unreliable,adversarial,key_in_boxes,red box,blue box,Which one is the blue box?,blue box,red box,0.0,1.0
OLMo-2-1124-7B-Base,1002,conflict_A3_incentivized,conflicting_evidence,incentivized,adversarial,key_in_boxes,red box,blue box,Which one is the blue box?,blue box,red box,0.0,1.0
OLMo-2-1124-7B-Base,1003,conflict_A4_malicious,conflicting_evidence,malicious,adversarial,key_in_boxes,red box,blue box,Which one is the blue box?,blue box,red box,0.0,1.0
OLMo-2-1124-7B-Base,1004,conflict_B1_forgetting,conflicting_evidence,forgetting,adversarial,key_in_boxes,red box,blue box,Which one?,,red box,,
OLMo-2-1124-7B-Base,1005,conflict_B2_intervening,conflicting_evidence,intervening,adversarial,key_in_boxes,red box,blue box,Which box did you see Sam put the key in yesterday?,,red box,,
OLMo-2-1124-7B-Base,1006,conflict_B3_poor_vis,conflicting_evidence,poor_visibility,adversarial,key_in_boxes,red box,blue box,Which one is the blue box?,blue box,red box,0.0,1.0
OLMo-2-1124-7B-Base,1007,conflict_C_cooperate,conflicting_evidence,none,cooperate,key_in_boxes,red box,red box,You are wrong.,,red box,,
OLMo-2-1124-7B-Base,1008,mutual_A1_expert,mutual_knowledge,expert,adversarial,knob_box_shelf,box,shelf,On the shelf? I thought Sam put it on the box.,box,box,1.0,0.0
OLMo-2-1124-7B-Base,1009,mutual_A2_unreliable,mutual_knowledge,unreliable,adversarial,knob_box_shelf,box,shelf,On the box.,box,box,1.0,0.0
OLMo-2-1124-7B-Base,100,mutual_B1_forgetting,mutual_knowledge,forgetting,adversarial,binder_shelf_desk,desk,shelf,On the shelf? I don't think so. It's on the desk.,desk,desk,1.0,0.0
OLMo-2-1124-7B-Base,1010,mutual_A3_incentivized,mutual_knowledge,incentivized,adversarial,knob_box_shelf,box,shelf,On the box.,box,box,1.0,0.0
